sector,school_name,suburb,postcode,phone,public_email,contact_form_url,website_url,source_directory_url,last_verified_date,lat,lon,website_checked,recovery_checked
government,St Helens District High School,St Helens,7216,,,https://sthelensdistricthigh.education.tas.edu.au/site-search,https://sthelensdistricthigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.32453944,148.24629738,true,true
government,St Marys District School,St Marys,7215,,st.marys.district.school@education.tas.gov.au,https://stmarysdistrict.education.tas.edu.au/site-search,https://stmarysdistrict.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.58478994,148.18939889,true,false
government,Triabunna District School,Triabunna,7190,,triabunna.district@decyp.tas.gov.au,https://triabunna.education.tas.edu.au/contact/,https://triabunna.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.50742508,147.91106789,true,false
government,Burnie High School,Cooee,7320,,burnie.high@education.tas.gov.au,https://burniehigh.education.tas.edu.au/site-search,https://burniehigh.education.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.0415376,145.86646528,true,false
government,Campbell Town District High School,Campbell Town,7210,,campbell.town.district.high@decyp.tas.gov.au,https://campbelltowndistricthigh.education.tas.edu.au/site-search,https://campbelltowndistricthigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.92446399,147.49096762,true,false
government,Cressy District High School,Cressy,7302,,cressy.district.high@education.tas.gov.au,https://schoolsweb.decyp.tas.gov.au/cressydistricthigh/,https://cressydistricthigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.69093755,147.0771548,true,false
government,Dunalley Primary School,Dunalley,7177,,dunalley.primary@decyp.tas.gov.au,https://www.dunalleyprimary.education.tas.edu.au/site-search,https://www.dunalleyprimary.education.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.88518675,147.81215862,true,false
government,Exeter High School,Exeter,7275,,exeter.high@decyp.tas.gov.au,https://exeterhigh.education.tas.edu.au/site-search,https://exeterhigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.30062736,146.95752176,true,false
government,King Island District High School,Currie,7256,,king.island.district.high@education.tas.gov.au,https://www.kingislanddistricthigh.education.tas.edu.au/contact-us/,https://kingislanddistricthigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-39.92665469,143.8559413,true,false
government,Kingston High School,Kingston,7050,,kingston.high.school@decyp.tas.gov.au,https://kingstonhigh.education.tas.edu.au/site-search,https://kingstonhigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.97371542,147.30813147,true,false
government,Kings Meadows High School,Kings Meadows,7249,,kings.meadows.high@education.tas.gov.au,https://kingsmeadowshs.education.tas.edu.au/site-search,https://kingsmeadowshs.education.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.47386659,147.15956905,true,false
government,Prospect High School,Prospect,7250,,prospect.high@decyp.tas.gov.au,https://prospecthigh.education.tas.edu.au/site-search,https://prospecthigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.47580035,147.13093189,true,false
government,Riverside High School,Riverside,7250,,,https://riversidehigh.education.tas.edu.au/site-search,https://riversidehigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.40905097,147.09955797,true,true
government,Smithton High School,Smithton,7330,,smithton.high@decyp.tas.gov.au,https://SmithtonHigh.education.tas.edu.au/site-search,https://SmithtonHigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-40.83816677,145.11644883,true,false
government,Sorell School,Sorell,7172,,sorell.school@decyp.tas.gov.au,https://sorell.education.tas.edu.au,https://sorell.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.78592321,147.56062331,true,false
government,Taroona High School,Taroona,7053,,taroona.high@decyp.tas.gov.au,https://taroonahigh.education.tas.edu.au/site-search,https://taroonahigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.94341,147.3559,true,false
government,Tasman District School,Nubeena,7184,,,,https://tasman.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.09833639,147.74706551,true,true
government,Winnaleah District High School,Winnaleah,7265,,winnaleah.district.high@education.tas.gov.au,,https://winnaleahdistricthigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.096531,147.822868,true,false
government,Woodbridge School,Woodbridge,7162,,hamish.cunningham@education.tas.gov.au,https://www.woodbridge.education.tas.edu.au/contact-us/,https://woodbridge.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.164652,147.239683,true,false
government,Yolla District School,Yolla,7325,,yolla.district.school@decyp.tas.gov.au,https://yolladistricthigh.education.tas.edu.au/site-search,https://yolladistricthigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.12266948,145.72009949,true,false
government,North West Support School,Acton,7320,,,https://northwestsupport.education.tas.edu.au/,https://northwestsupport.education.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.072282,145.893098,true,true
government,Invermay Primary School,Invermay,7248,,janice.westlake@education.vic.gov.au,http://www.invermayps.vic.edu.au/contact-us.html,http://www.invermayps.vic.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.42163515,147.13138403,true,false
government,Mowbray Heights Primary School,Mowbray,7248,,mowbray.heights.primary@decyp.tas.gov.au,https://mowbrayheightsprimary.education.tas.edu.au/site-search,https://mowbrayheightsprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.40275864,147.13341299,true,false
government,Rose Bay High School,Rose Bay,7015,,rose.bay.high@decyp.tas.gov.au,https://rosebayhigh.education.tas.edu.au/,https://rosebayhigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.86154099,147.35891671,true,false
government,Queechy High School,Norwood,7250,,queechy.high@decyp.tas.gov.au,https://queechyhigh.education.tas.edu.au/site-search,https://queechyhigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.45195332,147.17607496,true,false
government,Devonport High School,Devonport,7310,,devonport.high@education.tas.gov.au,https://devonporths.schoolzineplus.com/site-search,https://devonporths.schoolzineplus.com,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.17795098,146.34877035,true,false
catholic,Sacred Heart Catholic School,Launceston,7250,,shsl@catholic.tas.edu.au,,http://www.sacredheartl.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.445,147.133337,true,true
government,Albuera Street Primary School,Battery Point,7004,,,,https://www.ella.edu.au/preschools/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.89123278,147.32588298,true,true
government,Campbell Street Primary School,North Hobart,7000,,campbell.street.primary@decyp.tas.gov.au,https://www.campbellstreetprimary.education.tas.edu.au/site-search,https://www.campbellstreetprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.87254263,147.32268319,true,false
government,Goulburn Street Primary School,West Hobart,7000,,goulburn.street.primary@education.tas.gov.au,https://goulburnstreetprimary.education.tas.edu.au/site-search,https://goulburnstreetprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.88779991,147.31692503,true,false
government,Lansdowne Crescent Primary School,West Hobart,7000,,,https://www.lansdownecrescentprimary.org/apps/search,https://www.lansdownecrescentprimary.org/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.882125,147.30871,true,true
government,Mount Stuart Primary School,Mount Stuart,7000,,mount.stuart.primary@education.tas.gov.au,,https://mountstuartprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.87507847,147.29906955,true,false
government,South Hobart Primary School,South Hobart,7004,,south.hobart.primary@decyp.tas.gov.au,https://southhobartprimary.education.tas.edu.au/site-search,https://southhobartprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.891817,147.309568,true,false
government,Princes Street Primary School,Sandy Bay,7005,,princes.street.primary@education.tas.gov.au,https://schoolsweb.decyp.tas.gov.au/princessstreetprimary/,https://princesstreetprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.89924147,147.31840447,true,false
government,Waimea Heights Primary School,Sandy Bay,7005,,waimea.heights.primary@decyp.tas.gov.au,,https://waimeaheightsprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.90892028808594,147.3369140625,true,false
government,Taroona Primary School,Taroona,7053,,servicecentre@education.tas.gov.au,,https://www.taroonaprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.94315177,147.3527989,true,false
government,Mount Nelson Primary School,Mount Nelson,7007,,mount.nelson.primary@decyp.tas.gov.au,https://mountnelsonprimary.education.tas.edu.au/site-search,https://mountnelsonprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.91290931,147.32237076,true,false
government,Lenah Valley Primary School,Lenah Valley,7008,,jennifer.poynter@education.tas.gov.au,https://lenahvalleyprimary.education.tas.edu.au/contact-us/,https://lenahvalleyprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.860997,147.289568,true,false
government,New Town Primary School,New Town,7008,,new.town.primary@decyp.tas.gov.au,https://newtownprimary.education.tas.edu.au/site-search,https://newtownprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.85748163,147.30001235,true,false
government,Bowen Road Primary School,Moonah,7009,,bowen.road.primary@education.tas.gov.au,https://bowenroadprimary.education.tas.edu.au/contact-us/,https://bowenroadprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.84736447,147.30763733,true,false
government,Goodwood Primary School,Derwent Park,7009,,goodwood.primary@education.tas.gov.au,https://goodwoodprimary.education.tas.edu.au/site-search,https://goodwoodprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.83224516,147.29255312,true,false
government,Moonah Primary School,Derwent Park,7009,,servicecentre@decyp.tas.gov.au,,https://moonahprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.83809219,147.29646337,true,false
government,Springfield Gardens Primary School,West Moonah,7009,,springfield.gardens.primary@decyp.tas.gov.au,https://springfieldgardensprimary.education.tas.edu.au/site-search,https://springfieldgardensprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.84764764,147.27594789,true,false
government,Rosetta Primary School,Rosetta,7010,,rosetta.primary@decyp.tas.gov.au,https://rosettaprimary.education.tas.edu.au/site-search,https://rosettaprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.82210911,147.25730077,true,false
government,Collinsvale Primary School,Collinsvale,7012,,collinsvale.primary@education.tas.gov.au,,https://collinsvaleprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.83667338,147.19839968,true,false
government,Lindisfarne North Primary School,Geilston Bay,7015,,lindisfarne.north.primary@decyp.tas.gov.au,https://lindisfarnenorthprimary.tas.edu.au/site-search,https://lindisfarnenorthprimary.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.838657,147.350274,true,false
government,Lindisfarne Primary School,Lindisfarne,7015,,lindisfarne.primary@decyp.tas.gov.au,https://lindisfarneprimary.education.tas.edu.au/site-search,https://lindisfarneprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.85201252,147.36372444,true,false
